t;q
5.201714068700312;6.667643514379094
9.676773053356825;7.701347750808139
19.295234278981724;11.740712720052386
30.13525353683663;12.493922113340247
44.20634612106733;16.158536403027426
60.80129422354064;18.32127723835184
74.83799778116018;19.826260656860313
89.50716039341047;21.049672706177162
120.11189890224246;23.027251060826714
180.6993830907661;27.921258100110947
240.60506744734738;29.998235693417342
301.1880661106608;34.61055174950435
360.41344581036986;33.964396891232
420.9246760703211;34.069657216163435
480.7959714002913;33.98700393829114
